score,steps
47,1644
48,1670
49,1697
50,1743
51,1773
52,1818
53,1858
54,1886
55,1908
56,1931
57,1971
58,2005
59,2029
60,2034
61,2054
62,2077
63,2089
64,2092
65,2094
66,2115
67,2122
68,2151
69,2158
70,2167
71,2172
72,2177
73,2184
74,2206
75,2219
76,2220
77,2234
78,2251
79,2259
80,2269
81,2279
82,2292
83,2306
84,2308
85,2321
86,2330
87,2336
88,2346
89,2347
90,2350
91,2354
92,2355
93,2357
94,2360
95,2363
96,2364
97,2365
1,33
2,89
3,97
4,190
5,230
6,294
7,339
8,364
9,368
10,371
11,385
12,435
13,478
14,514
15,527
16,592
17,606
18,673
19,744
20,809
21,824
22,892
23,912
24,972
25,1042
26,1062
27,1089
28,1152
29,1204
30,1257
31,1303
32,1316
33,1317
34,1364
35,1388
36,1419
37,1465
38,1497
39,1542
40,1597
41,1599
42,1637
43,1690
44,1735
45,1755
46,1797
47,1834
48,1883
49,1900
50,1938
51,1955
52,1971
53,1978
54,1988
55,2007
56,2019
57,2054
58,2080
59,2116
60,2119
61,2128
62,2158
63,2176
64,2186
65,2190
66,2211
67,2229
68,2248
69,2259
70,2281
71,2287
72,2299
73,2321
74,2334
75,2346
76,2350
77,2367
78,2379
79,2388
80,2402
81,2410
82,2418
83,2423
84,2426
85,2431
86,2437
87,2445
88,2450
89,2453
90,2456
91,2460
92,2463
93,2467
94,2471
95,2474
96,2475
97,2476
1,29
2,124
3,163
4,206
5,271
6,354
7,386
8,431
9,513
10,526
11,595
12,653
13,736
14,817
15,854
16,886
17,910
18,960
19,975
20,1039
21,1075
22,1087
23,1142
24,1162
25,1172
26,1233
27,1285
28,1326
29,1380
30,1420
31,1476
32,1538
33,1596
34,1630
35,1667
36,1729
37,1772
38,1798
39,1857
40,1878
41,1894
42,1899
43,1921
44,1930
45,1943
46,1953
47,2002
48,2011
49,2025
50,2041
51,2080
52,2116
53,2133
54,2154
55,2172
56,2205
57,2237
58,2265
59,2293
60,2318
61,2350
62,2367
63,2387
64,2396
65,2403
66,2431
67,2444
68,2473
69,2485
70,2506
71,2515
72,2533
73,2542
74,2557
75,2567
76,2575
77,2589
78,2609
79,2622
80,2627
81,2641
82,2642
83,2654
84,2658
85,2667
86,2671
87,2678
88,2683
89,2691
90,2696
91,2701
92,2704
93,2709
94,2712
95,2714
96,2716
97,2717
1,89
2,95
3,143
4,190
5,192
6,237
7,292
8,305
9,374
10,404
11,483
12,498
13,505
14,570
15,641
16,651
17,714
18,772
19,834
20,880
21,949
22,1010
23,1044
24,1052
25,1088
26,1119
27,1128
28,1134
29,1144
30,1151
31,1166
32,1213
33,1256
34,1286
35,1338
36,1381
37,1382
38,1407
39,1414
40,1427
41,1480
42,1525
43,1576
44,1616
45,1632
46,1672
47,1719
48,1747
49,1789
50,1832
51,1879
52,1885
53,1920
54,1933
55,1963
56,1993
57,2014
58,2036
59,2075
60,2097
61,2129
62,2164
63,2175
64,2209
65,2225
66,2232
67,2239
68,2263
69,2288
70,2307
71,2332
72,2333
73,2338
74,2351
75,2359
76,2371
77,2373
78,2384
79,2396
80,2398
81,2414
82,2427
83,2430
84,2438
85,2450
86,2456
87,2462
88,2471
89,2479
90,2484
91,2489
92,2493
93,2497
94,2500
95,2503
96,2505
97,2506
1,89
2,97
3,178
4,255
5,340
6,406
7,453
8,498
9,556
10,567
11,610
12,668
13,669
14,673
15,730
16,811
17,828
18,877
19,950
20,1019
21,1092
22,1134
23,1199
24,1230
25,1297
26,1303
27,1321
28,1341
29,1383
30,1420
31,1473
32,1527
33,1582
34,1632
35,1695
36,1729
37,1749
38,1795
39,1844
40,1863
41,1884
42,1939
43,1962
44,1969
45,2004
46,2050
47,2051
48,2092
49,2133
50,2181
51,2211
52,2253
53,2263
54,2267
55,2309
56,2322
57,2353
58,2364
59,2395
60,2414
61,2427
62,2431
63,2465
64,2492
65,2506
66,2513
67,2517
68,2532
69,2560
70,2569
71,2579
72,2587
73,2591
74,2605
75,2608
76,2620
77,2626
78,2627
79,2631
80,2647
81,2663
82,2675
83,2676
84,2687
85,2688
86,2700
87,2709
88,2717
89,2719
90,2723
91,2729
92,2730
93,2734
94,2735
95,2736
96,2738
97,2739
1,92
2,172
3,232
4,310
5,399
6,438
7,449
8,527
9,567
10,619
11,672
12,685
13,735
14,784
15,821
16,894
17,961
18,965
19,1013
20,1058
21,1119
22,1153
23,1199
24,1262
25,1331
26,1358
27,1379
28,1393
29,1395
30,1436
31,1450
32,1479
33,1512
34,1569
35,1602
36,1608
37,1643
38,1680
39,1718
40,1756
41,1775
42,1798
43,1846
44,1861
45,1881
46,1882
47,1883
48,1933
49,1965
50,1980
51,1998
52,2041
53,2061
54,2063
55,2074
56,2115
57,2119
58,2131
59,2146
60,2181
61,2189
62,2201
63,2208
64,2242
65,2258
66,2285
67,2303
68,2311
69,2324
70,2351
71,2372
72,2377
73,2395
74,2418
75,2420
76,2439
77,2458
78,2478
79,2497
80,2501
81,2512
82,2521
83,2536
84,2537
85,2549
86,2554
87,2561
88,2567
89,2576
90,2583
91,2587
92,2590
93,2592
94,2595
95,2597
96,2599
97,2600
1,48
2,59
3,130
4,214
5,306
6,319
7,393
8,423
9,480
10,508
11,535
12,559
13,600
14,611
15,641
16,721
17,732
18,804
19,857
20,874
21,930
22,991
23,993
24,1008
25,1013
26,1053
27,1092
28,1121
29,1169
30,1180
31,1221
32,1258
33,1283
34,1301
35,1360
36,1365
37,1404
38,1434
39,1481
40,1482
41,1504
42,1559
43,1598
44,1631
45,1640
46,1650
47,1652
48,1663
49,1693
50,1700
51,1703
52,1722
53,1763
54,1796
55,1832
56,1837
57,1861
58,1886
59,1892
60,1916
61,1947
62,1969
63,1989
64,1994
65,1996
66,2024
67,2046
68,2055
69,2076
70,2102
71,2103
72,2109
73,2126
74,2139
75,2162
76,2174
77,2178
78,2183
79,2201
80,2210
81,2217
82,2225
83,2234
84,2235
85,2237
86,2246
87,2256
88,2261
89,2267
90,2269
91,2271
92,2277
93,2278
94,2281
95,2284
96,2285
97,2286
1,46
2,133
3,146
4,147
5,230
6,301
7,392
8,426
9,476
10,525
11,599
12,623
13,689
14,700
15,744
16,811
17,876
18,916
19,919
20,940
21,965
22,966
23,981
24,1053
25,1106
26,1171
27,1176
28,1231
29,1250
30,1271
31,1330
32,1353
33,1358
34,1386
35,1448
36,1500
37,1548
38,1564
39,1606
40,1648
41,1686
42,1726
43,1781
44,1796
45,1816
46,1835
47,1854
48,1879
49,1883
50,1927
51,1949
52,1991
53,2008
54,2046
55,2085
56,2087
57,2126
58,2154
59,2182
60,2185
61,2192
62,2218
63,2222
64,2239
65,2254
66,2271
67,2298
68,2315
69,2336
70,2347
71,2364
72,2388
73,2391
74,2414
75,2431
76,2448
77,2467
78,2483
79,2486
80,2487
81,2491
82,2503
83,2514
84,2523
85,2529
86,2533
87,2543
88,2545
89,2548
90,2553
91,2558
92,2561
93,2564
94,2566
95,2569
96,2571
97,2572
1,51
2,122
3,165
4,242
5,305
6,381
7,417
8,472
9,535
10,576
11,657
12,725
13,782
14,809
15,835
16,841
17,851
18,880
19,936
20,980
21,1024
22,1099
23,1105
24,1154
25,1209
26,1214
27,1223
28,1275
29,1344
30,1371
31,1422
32,1469
33,1491
34,1551
35,1552
36,1595
37,1620
38,1670
39,1674
40,1697
41,1702
42,1727
43,1756
44,1776
45,1787
46,1833
47,1862
48,1881
49,1899
50,1932
51,1976
52,1987
53,2031
54,2037
55,2055
56,2096
57,2110
58,2125
59,2140
60,2142
61,2161
62,2184
63,2195
64,2202
65,2219
66,2225
67,2247
68,2262
69,2272
70,2273
71,2278
72,2297
73,2314
74,2333
75,2338
76,2346
77,2358
78,2364
79,2371
80,2372
81,2384
82,2388
83,2389
84,2392
85,2396
86,2404
87,2411
88,2412
89,2421
90,2426
91,2430
92,2436
93,2439
94,2442
95,2443
96,2444
97,2445
1,90
2,172
3,230
4,320
5,337
6,346
7,381
8,450
9,464
10,543
11,621
12,644
13,715
14,771
15,845
16,924
17,991
18,1057
19,1071
20,1141
21,1208
22,1258
23,1307
24,1369
